,GEOID,NAME,variable,total_land,rural_land,urban_land,percent_rural,percent_urban,ruralscore,urbanscore
1,5131,"Sebastian County, Arkansas",total_land,54651,11156,43495,0.2041316719,0.7958683281,20.4,79.6
2,5133,"Sevier County, Arkansas",total_land,6887,4772,2115,0.692899666,0.307100334,69.3,30.7
3,5135,"Sharp County, Arkansas",total_land,9822,7645,2177,0.7783547139,0.2216452861,77.8,22.2
4,5137,"Stone County, Arkansas",total_land,6712,6712,0,1,0,100,0
5,5139,"Union County, Arkansas",total_land,19653,10823,8830,0.550704727,0.449295273,55.1,44.9
6,5141,"Van Buren County, Arkansas",total_land,10345,10345,0,1,0,100,0
7,5143,"Washington County, Arkansas",total_land,87808,22319,65489,0.2541795736,0.7458204264,25.4,74.6
8,5145,"White County, Arkansas",total_land,32488,17833,14655,0.5489103669,0.4510896331,54.9,45.1
9,5149,"Yell County, Arkansas",total_land,9752,7934,1818,0.8135767022,0.1864232978,81.4,18.6
10,6011,"Colusa County, California",total_land,7883,2942,4941,0.3732081695,0.6267918305,37.3,62.7
11,6007,"Butte County, California",total_land,95835,18911,76924,0.1973287421,0.8026712579,19.7,80.3
12,6001,"Alameda County, California",total_land,582549,2274,580275,0.003903534295,0.9960964657,0.4,99.6
13,6003,"Alpine County, California",total_land,1760,1760,0,1,0,100,0
14,6005,"Amador County, California",total_land,18032,12740,5292,0.7065217391,0.2934782609,70.7,29.3
15,6009,"Calaveras County, California",total_land,27925,23010,4915,0.823992838,0.176007162,82.4,17.6
16,6013,"Contra Costa County, California",total_land,400263,3251,397012,0.00812215968,0.9918778403,0.8,99.2
17,6015,"Del Norte County, California",total_land,11186,4496,6690,0.4019309852,0.5980690148,40.2,59.8
18,6031,"Kings County, California",total_land,43867,5556,38311,0.1266555725,0.8733444275,12.7,87.3
19,6021,"Glenn County, California",total_land,10778,4516,6262,0.4190016701,0.5809983299,41.9,58.1
20,6023,"Humboldt County, California",total_land,61559,20291,41268,0.3296187397,0.6703812603,33,67
21,6025,"Imperial County, California",total_land,56067,10704,45363,0.1909144417,0.8090855583,19.1,80.9
22,6017,"El Dorado County, California",total_land,88159,32535,55624,0.3690491045,0.6309508955,36.9,63.1
23,6019,"Fresno County, California",total_land,315531,36243,279288,0.1148635158,0.8851364842,11.5,88.5
24,6027,"Inyo County, California",total_land,9478,4859,4619,0.5126608989,0.4873391011,51.3,48.7
25,6029,"Kern County, California",total_land,284367,35576,248791,0.125105937,0.874894063,12.5,87.5
26,6043,"Mariposa County, California",total_land,10188,10188,0,1,0,100,0
27,6033,"Lake County, California",total_land,35492,12211,23281,0.3440493632,0.6559506368,34.4,65.6
28,6035,"Lassen County, California",total_land,12710,8263,4447,0.6501180173,0.3498819827,65,35
29,6037,"Los Angeles County, California",total_land,3445076,24098,3420978,0.006994910998,0.993005089,0.7,99.3
30,6039,"Madera County, California",total_land,49140,19322,29818,0.3932030932,0.6067969068,39.3,60.7
31,6041,"Marin County, California",total_land,111214,9406,101808,0.08457568292,0.9154243171,8.5,91.5
32,6059,"Orange County, California",total_land,1048907,1774,1047133,0.001691284356,0.9983087156,0.2,99.8
33,6045,"Mendocino County, California",total_land,40323,20804,19519,0.5159338343,0.4840661657,51.6,48.4
34,6047,"Merced County, California",total_land,83698,12749,70949,0.1523214414,0.8476785586,15.2,84.8
35,6049,"Modoc County, California",total_land,5192,3776,1416,0.7272727273,0.2727272727,72.7,27.3
36,6051,"Mono County, California",total_land,13912,5492,8420,0.3947671075,0.6052328925,39.5,60.5
37,6053,"Monterey County, California",total_land,139048,17558,121490,0.1262729417,0.8737270583,12.6,87.4
38,6055,"Napa County, California",total_land,54759,9588,45171,0.175094505,0.824905495,17.5,82.5
39,6057,"Nevada County, California",total_land,52590,24411,28179,0.4641756988,0.5358243012,46.4,53.6
40,6071,"San Bernardino County, California",total_land,699637,53270,646367,0.07613948376,0.9238605162,7.6,92.4
41,6067,"Sacramento County, California",total_land,555932,11077,544855,0.01992509875,0.9800749012,2,98
42,6069,"San Benito County, California",total_land,17870,4932,12938,0.2759932848,0.7240067152,27.6,72.4
43,6061,"Placer County, California",total_land,152648,30013,122635,0.1966157434,0.8033842566,19.7,80.3
44,6063,"Plumas County, California",total_land,15566,12987,2579,0.8343183862,0.1656816138,83.4,16.6
45,6065,"Riverside County, California",total_land,800707,45249,755458,0.05651130813,0.9434886919,5.7,94.3
46,1001,"Autauga County, Alabama",total_land,22135,9494,12641,0.4289134854,0.5710865146,42.9,57.1
47,1007,"Bibb County, Alabama",total_land,8981,6832,2149,0.7607170694,0.2392829306,76.1,23.9
48,1017,"Chambers County, Alabama",total_land,17004,7987,9017,0.4697130087,0.5302869913,47,53
49,1019,"Cherokee County, Alabama",total_land,16267,14323,1944,0.8804942522,0.1195057478,88,12
50,1025,"Clarke County, Alabama",total_land,12638,9701,2937,0.7676056338,0.2323943662,76.8,23.2
51,1013,"Butler County, Alabama",total_land,9964,7196,2768,0.7221999197,0.2778000803,72.2,27.8
52,1009,"Blount County, Alabama",total_land,23887,21500,2387,0.9000711684,0.09992883158,90,10
53,1011,"Bullock County, Alabama",total_land,4493,2922,1571,0.6503449811,0.3496550189,65,35
54,1021,"Chilton County, Alabama",total_land,19278,16739,2539,0.8682954663,0.1317045337,86.8,13.2
55,1023,"Choctaw County, Alabama",total_land,7269,7269,0,1,0,100,0
56,1037,"Coosa County, Alabama",total_land,6478,6478,0,1,0,100,0
57,1027,"Clay County, Alabama",total_land,6776,6776,0,1,0,100,0
58,1029,"Cleburne County, Alabama",total_land,6718,6718,0,1,0,100,0
59,1031,"Coffee County, Alabama",total_land,22330,10775,11555,0.4825347067,0.5174652933,48.3,51.7
60,1035,"Conecuh County, Alabama",total_land,7093,5880,1213,0.8289863245,0.1710136755,82.9,17.1
61,1033,"Colbert County, Alabama",total_land,25758,11299,14459,0.4386598338,0.5613401662,43.9,56.1
62,1053,"Escambia County, Alabama",total_land,16486,9820,6666,0.595656921,0.404343079,59.6,40.4
63,1039,"Covington County, Alabama",total_land,18829,13290,5539,0.7058261193,0.2941738807,70.6,29.4
64,1041,"Crenshaw County, Alabama",total_land,6735,6735,0,1,0,100,0
65,1043,"Cullman County, Alabama",total_land,37054,27065,9989,0.7304204674,0.2695795326,73,27
66,1045,"Dale County, Alabama",total_land,22677,11619,11058,0.512369361,0.487630639,51.2,48.8
67,1047,"Dallas County, Alabama",total_land,20208,9462,10746,0.4682304038,0.5317695962,46.8,53.2
68,1049,"DeKalb County, Alabama",total_land,31109,28282,2827,0.9091259764,0.09087402359,90.9,9.1
69,1051,"Elmore County, Alabama",total_land,32657,19546,13111,0.598524053,0.401475947,59.9,40.1
70,1065,"Hale County, Alabama",total_land,7655,6929,726,0.9051600261,0.09483997387,90.5,9.5
71,1055,"Etowah County, Alabama",total_land,47454,17045,30409,0.3591899524,0.6408100476,35.9,64.1
72,1057,"Fayette County, Alabama",total_land,8437,6846,1591,0.8114258623,0.1885741377,81.1,18.9
73,1059,"Franklin County, Alabama",total_land,14022,10264,3758,0.7319925831,0.2680074169,73.2,26.8
74,1061,"Geneva County, Alabama",total_land,12687,11387,1300,0.8975329077,0.1024670923,89.8,10.2
75,1063,"Greene County, Alabama",total_land,5007,5007,0,1,0,100,0
76,1081,"Lee County, Alabama",total_land,62391,16917,45474,0.2711448767,0.7288551233,27.1,72.9
77,1067,"Henry County, Alabama",total_land,8891,7916,975,0.8903385446,0.1096614554,89,11
78,1069,"Houston County, Alabama",total_land,45319,15403,29916,0.3398795207,0.6601204793,34,66
79,1071,"Jackson County, Alabama",total_land,24786,18961,5825,0.7649882998,0.2350117002,76.5,23.5
80,1073,"Jefferson County, Alabama",total_land,300552,27035,273517,0.08995115654,0.9100488435,9,91
81,1075,"Lamar County, Alabama",total_land,7354,7354,0,1,0,100,0
82,1077,"Lauderdale County, Alabama",total_land,43791,21005,22786,0.4796647713,0.5203352287,48,52
83,1079,"Lawrence County, Alabama",total_land,15229,13816,1413,0.9072164948,0.09278350515,90.7,9.3
84,1099,"Monroe County, Alabama",total_land,11333,9037,2296,0.7974058061,0.2025941939,79.7,20.3
85,1083,"Limestone County, Alabama",total_land,34977,21031,13946,0.6012808417,0.3987191583,60.1,39.9
86,1085,"Lowndes County, Alabama",total_land,5140,5140,0,1,0,100,0
87,1087,"Macon County, Alabama",total_land,10259,5848,4411,0.5700360659,0.4299639341,57,43
88,1089,"Madison County, Alabama",total_land,146447,23075,123372,0.1575655357,0.8424344643,15.8,84.2
89,1091,"Marengo County, Alabama",total_land,10237,7308,2929,0.7138810198,0.2861189802,71.4,28.6
90,1093,"Marion County, Alabama",total_land,14737,13128,1609,0.8908190269,0.1091809731,89.1,10.9
91,1097,"Mobile County, Alabama",total_land,178196,34419,143777,0.1931524838,0.8068475162,19.3,80.7
92,1095,"Marshall County, Alabama",total_land,40342,22306,18036,0.5529225125,0.4470774875,55.3,44.7
93,1115,"St. Clair County, Alabama",total_land,35541,25297,10244,0.7117695056,0.2882304944,71.2,28.8
94,1101,"Montgomery County, Alabama",total_land,101641,10564,91077,0.1039344359,0.8960655641,10.4,89.6
95,1103,"Morgan County, Alabama",total_land,51193,19577,31616,0.3824155646,0.6175844354,38.2,61.8
96,1105,"Perry County, Alabama",total_land,4737,4737,0,1,0,100,0
97,1107,"Pickens County, Alabama",total_land,9483,9483,0,1,0,100,0
98,1109,"Pike County, Alabama",total_land,15267,8398,6869,0.5500753259,0.4499246741,55,45
99,1111,"Randolph County, Alabama",total_land,11982,9928,2054,0.8285761976,0.1714238024,82.9,17.1
100,1113,"Russell County, Alabama",total_land,24595,8650,15945,0.3516974995,0.6483025005,35.2,64.8
101,1127,"Walker County, Alabama",total_land,30816,23015,7801,0.7468522845,0.2531477155,74.7,25.3
102,1117,"Shelby County, Alabama",total_land,80970,19579,61391,0.241805607,0.758194393,24.2,75.8
103,1119,"Sumter County, Alabama",total_land,6786,6786,0,1,0,100,0
104,1121,"Talladega County, Alabama",total_land,37088,21323,15765,0.5749298965,0.4250701035,57.5,42.5
105,1123,"Tallapoosa County, Alabama",total_land,22111,17153,4958,0.7757677174,0.2242322826,77.6,22.4
106,1125,"Tuscaloosa County, Alabama",total_land,84872,21230,63642,0.2501413894,0.7498586106,25,75
107,2090,"Fairbanks North Star Borough, Alaska",total_land,41783,14895,26888,0.3564846947,0.6435153053,35.6,64.4
108,1129,"Washington County, Alabama",total_land,8407,8407,0,1,0,100,0
109,1131,"Wilcox County, Alabama",total_land,5649,5649,0,1,0,100,0
110,1133,"Winston County, Alabama",total_land,13469,11617,1852,0.8624990719,0.1375009281,86.2,13.8
111,2013,"Aleutians East Borough, Alaska",total_land,747,747,0,1,0,100,0
112,2016,"Aleutians West Census Area, Alaska",total_land,1929,1929,0,1,0,100,0
113,2068,"Denali Borough, Alaska",total_land,1771,1771,0,1,0,100,0
114,2070,"Dillingham Census Area, Alaska",total_land,2427,2427,0,1,0,100,0
115,2060,"Bristol Bay Borough, Alaska",total_land,969,969,0,1,0,100,0
116,8023,"Costilla County, Colorado",total_land,2613,2613,0,1,0,100,0
117,8025,"Crowley County, Colorado",total_land,1559,1559,0,1,0,100,0
118,8027,"Custer County, Colorado",total_land,3956,3956,0,1,0,100,0
119,8029,"Delta County, Colorado",total_land,14572,9454,5118,0.6487784793,0.3512215207,64.9,35.1
120,8031,"Denver County, Colorado",total_land,285797,0,285797,0,1,0,100
121,8035,"Douglas County, Colorado",total_land,106859,11967,94892,0.1119886954,0.8880113046,11.2,88.8
122,8033,"Dolores County, Colorado",total_land,1468,1468,0,1,0,100,0
123,8049,"Grand County, Colorado",total_land,16061,12265,3796,0.7636510803,0.2363489197,76.4,23.6
124,8039,"Elbert County, Colorado",total_land,8939,8939,0,1,0,100,0
125,8041,"El Paso County, Colorado",total_land,252852,21676,231176,0.08572603737,0.9142739626,8.6,91.4
126,8043,"Fremont County, Colorado",total_land,19242,6802,12440,0.3534975574,0.6465024426,35.3,64.7
