labor_force,employed,unemployed,unemp_rate,bls_county
"25,957","25,015",942,3.6,"Autauga County, Alabama"
"93,849","90,456","3,393",3.6,"Baldwin County, Alabama"
"8,373","7,940",433,5.2,"Barbour County, Alabama"
"8,661","8,317",344,4,"Bibb County, Alabama"
"25,006","24,128",878,3.5,"Blount County, Alabama"
"4,776","4,552",224,4.7,"Bullock County, Alabama"
"8,914","8,487",427,4.8,"Butler County, Alabama"
"45,972","43,833","2,139",4.7,"Calhoun County, Alabama"
"15,276","14,679",597,3.9,"Chambers County, Alabama"
"11,622","11,207",415,3.6,"Cherokee County, Alabama"
"19,476","18,773",703,3.6,"Chilton County, Alabama"
"4,694","4,434",260,5.5,"Choctaw County, Alabama"
"7,627","7,057",570,7.5,"Clarke County, Alabama"
"5,963","5,730",233,3.9,"Clay County, Alabama"
"5,743","5,499",244,4.2,"Cleburne County, Alabama"
"20,817","19,995",822,3.9,"Coffee County, Alabama"
"23,258","22,184","1,074",4.6,"Colbert County, Alabama"
"4,494","4,259",235,5.2,"Conecuh County, Alabama"
"4,376","4,193",183,4.2,"Coosa County, Alabama"
"15,617","14,902",715,4.6,"Covington County, Alabama"
"6,298","6,041",257,4.1,"Crenshaw County, Alabama"
"37,830","36,589","1,241",3.3,"Cullman County, Alabama"
"20,120","19,274",846,4.2,"Dale County, Alabama"
"14,860","13,887",973,6.5,"Dallas County, Alabama"
"30,129","28,979","1,150",3.8,"DeKalb County, Alabama"
"37,215","35,932","1,283",3.4,"Elmore County, Alabama"
"14,352","13,696",656,4.6,"Escambia County, Alabama"
"43,096","41,328","1,768",4.1,"Etowah County, Alabama"
"6,482","6,215",267,4.1,"Fayette County, Alabama"
"14,203","13,673",530,3.7,"Franklin County, Alabama"
"10,851","10,425",426,3.9,"Geneva County, Alabama"
"2,838","2,647",191,6.7,"Greene County, Alabama"
"5,991","5,686",305,5.1,"Hale County, Alabama"
"6,766","6,466",300,4.4,"Henry County, Alabama"
"45,150","43,325","1,825",4,"Houston County, Alabama"
"23,241","22,286",955,4.1,"Jackson County, Alabama"
"314,014","302,359","11,655",3.7,"Jefferson County, Alabama"
"5,721","5,503",218,3.8,"Lamar County, Alabama"
"42,141","40,375","1,766",4.2,"Lauderdale County, Alabama"
"13,919","13,336",583,4.2,"Lawrence County, Alabama"
"74,654","71,951","2,703",3.6,"Lee County, Alabama"
"42,393","40,890","1,503",3.5,"Limestone County, Alabama"
"3,625","3,360",265,7.3,"Lowndes County, Alabama"
"7,816","7,389",427,5.5,"Macon County, Alabama"
"179,752","173,532","6,220",3.5,"Madison County, Alabama"
"7,589","7,209",380,5,"Marengo County, Alabama"
"12,549","12,036",513,4.1,"Marion County, Alabama"
"42,598","41,157","1,441",3.4,"Marshall County, Alabama"
"187,406","178,608","8,798",4.7,"Mobile County, Alabama"
"7,158","6,716",442,6.2,"Monroe County, Alabama"
"105,579","101,360","4,219",4,"Montgomery County, Alabama"
"56,339","54,356","1,983",3.5,"Morgan County, Alabama"
"3,397","3,175",222,6.5,"Perry County, Alabama"
"7,805","7,449",356,4.6,"Pickens County, Alabama"
"15,230","14,544",686,4.5,"Pike County, Alabama"
"9,538","9,155",383,4,"Randolph County, Alabama"
"23,753","22,798",955,4,"Russell County, Alabama"
"39,683","38,296","1,387",3.5,"St. Clair County, Alabama"
"112,891","109,672","3,219",2.9,"Shelby County, Alabama"
"4,768","4,487",281,5.9,"Sumter County, Alabama"
"34,978","33,481","1,497",4.3,"Talladega County, Alabama"
"17,772","17,028",744,4.2,"Tallapoosa County, Alabama"
"101,569","97,855","3,714",3.7,"Tuscaloosa County, Alabama"
"25,132","24,064","1,068",4.2,"Walker County, Alabama"
"6,667","6,278",389,5.8,"Washington County, Alabama"
"2,734","2,472",262,9.6,"Wilcox County, Alabama"
"9,781","9,371",410,4.2,"Winston County, Alabama"
"2,321","2,252",69,3,"Aleutians East Borough, Alaska"
"3,615","3,487",128,3.5,"Aleutians West Census Area, Alaska"
"151,950","143,602","8,348",5.5,"Anchorage Municipality, Alaska"
"7,400","6,455",945,12.8,"Bethel Census Area, Alaska"
441,413,28,6.3,"Bristol Bay Borough, Alaska"
"1,088","1,003",85,7.8,"Denali Borough, Alaska"
"2,027","1,861",166,8.2,"Dillingham Census Area, Alaska"
"46,101","43,426","2,675",5.8,"Fairbanks North Star Borough, Alaska"
"1,092",988,104,9.5,"Haines Borough, Alaska"
"1,158","1,012",146,12.6,"Hoonah-Angoon Census Area, Alaska"
"17,232","16,470",762,4.4,"Juneau City and Borough, Alaska"
"26,497","24,453","2,044",7.7,"Kenai Peninsula Borough, Alaska"
"7,026","6,604",422,6,"Ketchikan Gateway Borough, Alaska"
"6,210","5,848",362,5.8,"Kodiak Island Borough, Alaska"
"2,708","2,169",539,19.9,"Kusilvak Census Area, Alaska"
739,653,86,11.6,"Lake and Peninsula Borough, Alaska"
"47,654","44,014","3,640",7.6,"Matanuska-Susitna Borough, Alaska"
"4,113","3,636",477,11.6,"Nome Census Area, Alaska"
"3,413","3,173",240,7,"North Slope Borough, Alaska"
"2,924","2,508",416,14.2,"Northwest Arctic Borough, Alaska"
"1,404","1,282",122,8.7,"Petersburg Borough, Alaska"
"2,899","2,584",315,10.9,"Prince of Wales-Hyder Census Area, Alaska"
"4,408","4,225",183,4.2,"Sitka City and Borough, Alaska"
836,754,82,9.8,"Skagway Municipality, Alaska"
"2,940","2,658",282,9.6,"Southeast Fairbanks Census Area, Alaska"
"4,849","4,488",361,7.4,"Valdez-Cordova Census Area, Alaska"
"1,051",977,74,7,"Wrangell City and Borough, Alaska"
245,225,20,8.2,"Yakutat City and Borough, Alaska"
"2,545","2,156",389,15.3,"Yukon-Koyukuk Census Area, Alaska"
"20,665","18,585","2,080",10.1,"Apache County, Arizona"
"49,774","46,985","2,789",5.6,"Cochise County, Arizona"
"77,083","72,850","4,233",5.5,"Coconino County, Arizona"
"21,518","20,251","1,267",5.9,"Gila County, Arizona"
"14,878","14,114",764,5.1,"Graham County, Arizona"
"4,280","4,098",182,4.3,"Greenlee County, Arizona"
"8,938","8,381",557,6.2,"La Paz County, Arizona"
"2,229,526","2,137,219","92,307",4.1,"Maricopa County, Arizona"
"85,442","80,508","4,934",5.8,"Mohave County, Arizona"
"40,598","37,447","3,151",7.8,"Navajo County, Arizona"
"486,261","464,433","21,828",4.5,"Pima County, Arizona"
"178,216","169,264","8,952",5,"Pinal County, Arizona"
"19,325","17,522","1,803",9.3,"Santa Cruz County, Arizona"
"105,618","100,899","4,719",4.5,"Yavapai County, Arizona"
"97,636","80,997","16,639",17,"Yuma County, Arizona"
"9,070","8,762",308,3.4,"Arkansas County, Arkansas"
"7,683","7,263",420,5.5,"Ashley County, Arkansas"
"16,463","15,785",678,4.1,"Baxter County, Arkansas"
"134,404","130,532","3,872",2.9,"Benton County, Arkansas"
"15,856","15,295",561,3.5,"Boone County, Arkansas"
"4,362","4,166",196,4.5,"Bradley County, Arkansas"
"2,404","2,310",94,3.9,"Calhoun County, Arkansas"
"12,639","12,233",406,3.2,"Carroll County, Arkansas"
"3,340","3,110",230,6.9,"Chicot County, Arkansas"
"9,580","9,214",366,3.8,"Clark County, Arkansas"
"5,835","5,579",256,4.4,"Clay County, Arkansas"
"9,174","8,758",416,4.5,"Cleburne County, Arkansas"
"3,302","3,173",129,3.9,"Cleveland County, Arkansas"
"8,991","8,562",429,4.8,"Columbia County, Arkansas"
"8,198","7,840",358,4.4,"Conway County, Arkansas"
"54,120","52,462","1,658",3.1,"Craighead County, Arkansas"
"26,861","25,899",962,3.6,"Crawford County, Arkansas"
"21,467","20,542",925,4.3,"Crittenden County, Arkansas"
"7,441","7,131",310,4.2,"Cross County, Arkansas"
"2,811","2,687",124,4.4,"Dallas County, Arkansas"
"5,443","5,196",247,4.5,"Desha County, Arkansas"
"7,757","7,369",388,5,"Drew County, Arkansas"
"61,476","59,460","2,016",3.3,"Faulkner County, Arkansas"
"7,406","7,140",266,3.6,"Franklin County, Arkansas"
"4,805","4,613",192,4,"Fulton County, Arkansas"
"40,797","39,146","1,651",4,"Garland County, Arkansas"
"8,321","8,062",259,3.1,"Grant County, Arkansas"
"19,755","19,064",691,3.5,"Greene County, Arkansas"
"9,908","9,555",353,3.6,"Hempstead County, Arkansas"
"13,993","13,466",527,3.8,"Hot Spring County, Arkansas"
"5,922","5,717",205,3.5,"Howard County, Arkansas"
"16,222","15,560",662,4.1,"Independence County, Arkansas"
"4,869","4,599",270,5.5,"Izard County, Arkansas"
"5,786","5,430",356,6.2,"Jackson County, Arkansas"
"28,066","26,582","1,484",5.3,"Jefferson County, Arkansas"
"10,445","9,972",473,4.5,"Johnson County, Arkansas"
"2,497","2,366",131,5.2,"Lafayette County, Arkansas"
"6,858","6,589",269,3.9,"Lawrence County, Arkansas"
"2,917","2,776",141,4.8,"Lee County, Arkansas"
"4,041","3,867",174,4.3,"Lincoln County, Arkansas"
"5,485","5,196",289,5.3,"Little River County, Arkansas"
"8,749","8,396",353,4,"Logan County, Arkansas"
"33,853","32,766","1,087",3.2,"Lonoke County, Arkansas"
"7,426","7,213",213,2.9,"Madison County, Arkansas"
"6,506","6,237",269,4.1,"Marion County, Arkansas"
"19,722","18,772",950,4.8,"Miller County, Arkansas"
"17,510","16,515",995,5.7,"Mississippi County, Arkansas"
"2,746","2,627",119,4.3,"Monroe County, Arkansas"
"3,036","2,890",146,4.8,"Montgomery County, Arkansas"
"3,613","3,485",128,3.5,"Nevada County, Arkansas"
"3,312","3,200",112,3.4,"Newton County, Arkansas"
"9,755","9,301",454,4.7,"Ouachita County, Arkansas"
"4,248","4,071",177,4.2,"Perry County, Arkansas"
"6,608","6,202",406,6.1,"Phillips County, Arkansas"
"4,255","4,078",177,4.2,"Pike County, Arkansas"
"10,269","9,874",395,3.8,"Poinsett County, Arkansas"
"8,003","7,670",333,4.2,"Polk County, Arkansas"
"28,998","27,702","1,296",4.5,"Pope County, Arkansas"
"3,568","3,429",139,3.9,"Prairie County, Arkansas"
"189,210","182,612","6,598",3.5,"Pulaski County, Arkansas"
"7,175","6,890",285,4,"Randolph County, Arkansas"
"8,320","7,891",429,5.2,"St. Francis County, Arkansas"
"57,716","55,923","1,793",3.1,"Saline County, Arkansas"
"4,380","4,219",161,3.7,"Scott County, Arkansas"
"2,957","2,829",128,4.3,"Searcy County, Arkansas"
"57,075","55,032","2,043",3.6,"Sebastian County, Arkansas"
"5,549","5,290",259,4.7,"Sevier County, Arkansas"
"5,798","5,522",276,4.8,"Sharp County, Arkansas"
"4,801","4,583",218,4.5,"Stone County, Arkansas"
"15,960","15,074",886,5.6,"Union County, Arkansas"
"5,921","5,610",311,5.3,"Van Buren County, Arkansas"
"122,569","119,378","3,191",2.6,"Washington County, Arkansas"
"33,786","32,308","1,478",4.4,"White County, Arkansas"
"2,829","2,695",134,4.7,"Woodruff County, Arkansas"
"8,505","8,148",357,4.2,"Yell County, Arkansas"
"848,215","822,769","25,446",3,"Alameda County, California"
547,522,25,4.6,"Alpine County, California"
"14,706","14,117",589,4,"Amador County, California"
"102,712","97,619","5,093",5,"Butte County, California"
"21,351","20,506",845,4,"Calaveras County, California"
"10,969","9,551","1,418",12.9,"Colusa County, California"
"564,570","546,778","17,792",3.2,"Contra Costa County, California"
