avg_nom,avg_human,avg_harm,avg_cleanplan
0.526,44.959,33.999,57.464
0.352,46.997,34.833,60.668
-0.390,49.107,42.991,62.963
0.361,47.240,34.155,56.066
0.641,48.194,32.591,57.990
0.605,44.959,33.999,57.464
0.608,44.332,31.757,57.433
0.365,42.306,30.257,54.971
0.283,49.175,35.929,59.996
0.283,47.821,35.683,59.696
0.749,48.310,35.685,60.730
0.699,48.310,35.685,60.730
-0.599,58.772,46.546,66.049
-0.165,50.849,38.996,62.260
0.667,48.012,34.439,59.846
0.599,50.931,35.546,63.354
0.190,54.280,40.299,66.914
-0.106,56.015,41.751,66.255
-0.442,61.071,49.876,68.342
0.745,50.412,36.113,63.066
0.400,NA,NA,NA
0.441,NA,NA,NA
0.347,NA,NA,NA
0.564,NA,NA,NA
-0.537,60.440,46.639,69.430
-0.401,58.633,42.413,68.164
-0.490,69.705,51.600,74.442
0.626,56.027,40.569,65.652
-0.553,61.692,46.604,69.046
-0.348,64.021,48.083,69.666
0.506,52.346,39.049,64.423
-0.343,59.702,46.289,68.453
0.448,54.336,42.743,63.017
-0.508,60.026,49.390,67.848
-0.189,56.304,48.050,65.506
-0.434,59.307,47.082,69.109
0.538,53.942,39.843,64.830
-0.261,56.335,44.640,63.914
0.458,49.965,37.513,60.639
-0.384,65.355,48.474,70.918
0.721,50.034,36.470,61.046
-0.488,61.115,46.252,66.487
-0.308,53.906,41.815,64.471
0.537,50.171,37.984,60.296
0.306,55.464,42.692,64.034
-0.584,64.022,51.977,70.890
-0.430,64.205,54.046,69.525
0.535,50.483,36.546,64.287
-0.426,60.835,42.595,70.641
-0.230,55.423,40.689,65.666
0.386,50.531,40.628,60.161
-0.366,61.150,47.737,68.947
0.253,54.226,47.606,62.065
-0.285,55.861,43.417,65.894
-0.381,62.313,52.227,67.954
-0.386,60.293,50.500,67.540
-0.240,57.058,43.888,67.588
-0.464,58.915,48.214,66.127
-0.450,59.906,46.893,65.819
-0.396,61.112,50.402,67.559
-0.178,56.528,39.292,67.107
-0.653,61.013,50.522,67.749
-0.381,62.001,44.587,70.353
-0.406,61.988,46.348,68.236
0.397,52.787,41.249,62.734
-0.542,67.665,57.681,71.223
-0.512,67.665,57.681,71.223
-0.471,63.096,55.212,67.862
0.657,54.521,42.100,62.158
0.349,53.246,40.573,63.071
-0.402,62.243,48.288,69.506
-0.342,60.082,44.794,68.067
-0.337,60.083,50.001,66.202
-0.358,57.641,41.910,65.869
-0.682,69.540,53.587,74.579
-0.395,60.014,44.858,70.786
-0.448,59.917,48.512,66.921
-0.033,57.378,45.814,65.078
0.680,48.786,36.224,62.807
-0.281,54.009,38.838,65.396
-0.278,55.518,38.007,68.326
0.492,54.447,39.778,64.259
0.447,52.080,37.447,62.307
0.653,48.876,35.433,60.015
-0.432,61.585,44.511,69.108
-0.344,52.398,35.722,65.687
-0.241,58.565,41.058,68.565
-0.315,54.503,38.101,64.820
-0.416,55.517,40.222,66.220
-0.398,54.723,40.309,65.880
-0.279,52.383,40.388,63.657
0.114,54.050,38.121,65.190
0.244,59.412,48.864,65.771
0.635,48.763,34.043,59.984
0.354,46.909,34.443,61.749
0.277,56.422,46.810,63.113
-0.422,60.365,45.418,68.719
-0.438,58.492,45.002,66.894
0.359,51.888,36.315,63.374
0.406,52.632,37.136,63.926
-0.369,55.054,42.829,64.958
0.520,50.555,35.618,62.594
0.458,47.545,34.301,59.101
-0.401,54.789,39.976,66.518
0.291,49.975,35.877,61.924
0.491,50.053,34.017,62.386
0.222,53.784,38.810,65.562
0.531,50.582,37.386,63.363
-0.475,61.340,52.638,70.460
0.712,46.506,34.662,60.754
0.663,50.209,35.244,63.203
0.009,49.616,36.116,60.862
0.625,49.880,35.935,63.401
-0.401,57.044,40.308,66.498
0.073,57.054,47.132,64.245
0.600,49.880,35.935,63.401
0.082,54.050,38.121,65.190
-0.371,52.636,44.176,64.667
0.249,51.163,36.701,61.087
-0.564,57.077,49.088,70.372
-0.589,64.882,50.747,71.117
0.645,48.470,34.659,61.068
-0.301,54.160,44.619,64.417
0.644,53.925,38.001,64.733
0.594,53.925,38.001,64.733
0.655,45.738,33.805,56.815
0.408,46.835,36.772,60.928
-0.468,57.618,48.054,68.553
0.828,46.121,34.744,57.058
0.734,43.335,32.090,54.042
0.607,52.715,39.133,61.125
0.574,44.704,34.228,56.600
0.617,46.459,33.848,59.265
0.571,46.599,36.530,58.296
-0.282,50.455,41.863,61.067
-0.370,NA,NA,NA
-0.370,NA,NA,NA
-0.368,NA,NA,NA
-0.368,NA,NA,NA
-0.279,NA,NA,NA
0.735,44.266,31.426,58.960
0.297,50.919,34.942,61.142
-0.231,54.661,40.701,64.344
0.429,51.946,35.688,63.919
-0.226,55.263,39.868,63.481
0.360,46.522,30.960,59.844
0.360,46.522,30.960,59.844
0.408,46.522,30.960,59.844
0.408,46.522,30.960,59.844
-0.320,64.585,45.160,70.872
0.271,46.996,33.032,60.360
0.490,51.368,34.381,64.337
-0.323,56.829,41.058,66.581
-0.053,58.531,39.828,67.613
0.097,50.143,34.486,61.465
0.289,50.892,34.863,62.426
-0.236,51.363,36.710,64.163
-0.460,57.922,47.897,69.640
-0.478,58.108,47.605,69.568
-0.487,67.214,54.225,70.719
-0.486,63.634,52.070,72.114
0.373,45.129,30.633,56.929
-0.607,64.508,44.558,71.466
-0.402,52.133,36.953,64.017
-0.430,56.761,42.470,66.727
0.708,47.784,32.919,58.179
0.602,47.485,31.594,58.808
0.402,44.928,30.250,56.887
0.457,49.384,32.999,60.553
0.431,49.318,33.590,59.296
0.365,50.085,33.678,62.483
0.563,46.145,31.443,56.917
0.609,47.948,33.074,62.277
0.248,53.740,35.904,64.121
-0.275,50.394,34.539,61.181
0.395,49.745,33.759,64.993
0.523,48.962,33.608,62.381
0.670,44.889,31.301,57.254
0.558,51.855,35.559,64.163
0.660,48.337,34.246,61.249
0.639,48.337,34.246,61.249
0.335,45.648,31.026,56.657
-0.378,51.950,37.878,62.160
0.416,45.913,31.916,58.295
0.495,51.552,35.981,61.728
0.529,45.309,31.143,56.020
0.529,45.309,31.143,56.020
0.416,45.309,31.143,56.020
0.416,45.309,31.143,56.020
0.680,47.445,32.200,59.997
0.450,44.889,33.338,56.241
0.564,45.556,33.366,58.193
0.576,45.167,34.352,57.697
0.460,45.487,33.040,58.870
-0.480,56.228,46.324,66.893
0.478,44.887,34.220,56.080
0.458,44.887,34.220,56.080
0.146,52.747,33.884,64.961
-0.420,55.982,35.268,65.127
-0.380,54.778,41.984,63.102
-0.295,55.170,42.870,67.409
-0.443,60.984,43.245,66.421
-0.469,56.023,40.244,65.914
