trump_per,elect_county
73.44%,"Autauga County, Alabama"
77.35%,"Baldwin County, Alabama"
52.27%,"Barbour County, Alabama"
76.97%,"Bibb County, Alabama"
89.85%,"Blount County, Alabama"
24.23%,"Bullock County, Alabama"
56.32%,"Butler County, Alabama"
69.24%,"Calhoun County, Alabama"
56.63%,"Chambers County, Alabama"
83.87%,"Cherokee County, Alabama"
82.54%,"Chilton County, Alabama"
56.44%,"Choctaw County, Alabama"
54.96%,"Clarke County, Alabama"
79.58%,"Clay County, Alabama"
87.84%,"Cleburne County, Alabama"
77.15%,"Coffee County, Alabama"
67.89%,"Colbert County, Alabama"
52.16%,"Conecuh County, Alabama"
64.64%,"Coosa County, Alabama"
83.59%,"Covington County, Alabama"
72.15%,"Crenshaw County, Alabama"
87.81%,"Cullman County, Alabama"
74.12%,"Dale County, Alabama"
30.88%,"Dallas County, Alabama"
83.49%,"DeKalb County, Alabama"
74.84%,"Elmore County, Alabama"
67.59%,"Escambia County, Alabama"
73.91%,"Etowah County, Alabama"
81.81%,"Fayette County, Alabama"
79.18%,"Franklin County, Alabama"
85.49%,"Geneva County, Alabama"
17.24%,"Greene County, Alabama"
39.60%,"Hale County, Alabama"
70.14%,"Henry County, Alabama"
72.73%,"Houston County, Alabama"
80.07%,"Jackson County, Alabama"
45.02%,"Jefferson County, Alabama"
83.96%,"Lamar County, Alabama"
71.46%,"Lauderdale County, Alabama"
73.39%,"Lawrence County, Alabama"
59.51%,"Lee County, Alabama"
73.16%,"Limestone County, Alabama"
26.23%,"Lowndes County, Alabama"
15.94%,"Macon County, Alabama"
55.93%,"Madison County, Alabama"
47.72%,"Marengo County, Alabama"
87.31%,"Marion County, Alabama"
83.56%,"Marshall County, Alabama"
55.75%,"Mobile County, Alabama"
56.66%,"Monroe County, Alabama"
35.88%,"Montgomery County, Alabama"
74.80%,"Morgan County, Alabama"
26.70%,"Perry County, Alabama"
57.45%,"Pickens County, Alabama"
58.97%,"Pike County, Alabama"
75.98%,"Randolph County, Alabama"
48.13%,"Russell County, Alabama"
83.24%,"St. Clair County, Alabama"
73.43%,"Shelby County, Alabama"
24.74%,"Sumter County, Alabama"
62.00%,"Talladega County, Alabama"
70.08%,"Tallapoosa County, Alabama"
58.38%,"Tuscaloosa County, Alabama"
82.78%,"Walker County, Alabama"
71.02%,"Washington County, Alabama"
28.50%,"Wilcox County, Alabama"
89.96%,"Winston County, Alabama"
52.89%,"Aleutians East Borough, Alaska"
28.48%,"Aleutians West Census Area, Alaska"
58.02%,"Anchorage Municipality, Alaska"
36.89%,"Bethel Census Area, Alaska"
63.89%,"Bristol Bay Borough, Alaska"
67.22%,"Denali Borough, Alaska"
58.34%,"Dillingham Census Area, Alaska"
68.57%,"Fairbanks North Star Borough, Alaska"
49.13%,"Haines Borough, Alaska"
73.67%,"Hoonah-Angoon Census Area, Alaska"
51.30%,"Juneau City and Borough, Alaska"
40.75%,"Kenai Peninsula Borough, Alaska"
57.41%,"Ketchikan Gateway Borough, Alaska"
24.45%,"Kodiak Island Borough, Alaska"
63.44%,"Kusilvak Census Area, Alaska"
50.51%,"Lake and Peninsula Borough, Alaska"
62.02%,"Matanuska-Susitna Borough, Alaska"
66.50%,"Nome Census Area, Alaska"
74.88%,"North Slope Borough, Alaska"
64.45%,"Northwest Arctic Borough, Alaska"
76.83%,"Petersburg Borough, Alaska"
59.80%,"Prince of Wales-Hyder Census Area, Alaska"
69.07%,"Sitka City and Borough, Alaska"
63.56%,"Skagway Municipality, Alaska"
41.36%,"Southeast Fairbanks Census Area, Alaska"
52.58%,"Valdez-Cordova Census Area, Alaska"
63.22%,"Wrangell City and Borough, Alaska"
78.99%,"Yakutat City and Borough, Alaska"
74.57%,"Yukon-Koyukuk Census Area, Alaska"
61.74%,"Apache County, Arizona"
61.81%,"Cochise County, Arizona"
65.20%,"Coconino County, Arizona"
75.17%,"Gila County, Arizona"
44.01%,"Graham County, Arizona"
67.00%,"Greenlee County, Arizona"
54.98%,"La Paz County, Arizona"
45.31%,"Maricopa County, Arizona"
60.55%,"Mohave County, Arizona"
62.92%,"Navajo County, Arizona"
75.16%,"Pima County, Arizona"
73.15%,"Pinal County, Arizona"
64.59%,"Santa Cruz County, Arizona"
75.27%,"Yavapai County, Arizona"
74.18%,"Yuma County, Arizona"
62.87%,"Arkansas County, Arkansas"
69.01%,"Ashley County, Arkansas"
68.08%,"Baxter County, Arkansas"
73.83%,"Benton County, Arkansas"
74.91%,"Boone County, Arkansas"
64.05%,"Bradley County, Arkansas"
35.94%,"Calhoun County, Arkansas"
67.49%,"Carroll County, Arkansas"
61.73%,"Chicot County, Arkansas"
72.20%,"Clark County, Arkansas"
40.91%,"Clay County, Arkansas"
64.37%,"Cleburne County, Arkansas"
69.41%,"Cleveland County, Arkansas"
73.19%,"Columbia County, Arkansas"
74.36%,"Conway County, Arkansas"
72.50%,"Craighead County, Arkansas"
75.57%,"Crawford County, Arkansas"
70.52%,"Crittenden County, Arkansas"
53.77%,"Cross County, Arkansas"
50.61%,"Dallas County, Arkansas"
74.69%,"Desha County, Arkansas"
61.89%,"Drew County, Arkansas"
77.06%,"Faulkner County, Arkansas"
54.11%,"Franklin County, Arkansas"
70.71%,"Fulton County, Arkansas"
35.44%,"Garland County, Arkansas"
79.63%,"Grant County, Arkansas"
59.61%,"Greene County, Arkansas"
81.34%,"Hempstead County, Arkansas"
72.84%,"Hot Spring County, Arkansas"
73.53%,"Howard County, Arkansas"
38.79%,"Independence County, Arkansas"
71.41%,"Izard County, Arkansas"
43.11%,"Jackson County, Arkansas"
68.98%,"Jefferson County, Arkansas"
78.82%,"Johnson County, Arkansas"
79.91%,"Lafayette County, Arkansas"
66.05%,"Lawrence County, Arkansas"
72.64%,"Lee County, Arkansas"
